Date,Time,"Outdoor air temperature
°C","Outdoor relative humidity
%",Outdoor dew point °C,Thermal sensation °C,Heat index °C,THSW index°C,Solar radiation W/m^2,Solar radiation MJ/300s,Degree-days D-D ,Indoor air temperature °C,Indoor relative humidity %,Indoor dew point °C,"Saturation vapor pressure
es","Actual vapor pressure
ea","Slope of the saturation vapor pressure curve
A","Psychrometric constant
Y","Solar radiation MJ/m^2
Rs","Net radiation
Rni","Evapotranspiration
ETo"
,,,,,,,,,,,,,,,,,,,,
12/07/2020,19:50:00,28.4,58,19.3,28.4,29.8,27.9,0,0,0.035,29.6,50,18.1,4.14668165,2.073340825,0.238547847,0.0672315,0,0,0.653494591
12/07/2020,19:55:00,28.4,59,19.6,28.4,29.8,28,0,0,0.035,29.6,50,18.1,4.14668165,2.073340825,0.238547847,0.0672315,0,0,0.653494591
12/07/2020,20:00:00,28.3,59,19.6,28.3,29.7,27.9,0,0,0.035,29.6,50,18.1,4.14668165,2.073340825,0.238547847,0.0672315,0,0,0.653494591
12/07/2020,20:05:00,28.3,56,18.7,28.3,29.4,27.5,0,0,0.035,29.5,49,17.7,4.122885469,2.02021388,0.237356743,0.0672315,0,0,0.665457179
12/07/2020,20:10:00,28.2,55,18.3,28.2,29.2,27.3,0,0,0.034,29.5,49,17.7,4.122885469,2.02021388,0.237356743,0.0672315,0,0,0.665457179
12/07/2020,20:15:00,28.2,55,18.3,28.2,29.2,27.3,0,0,0.034,29.4,49,17.6,4.099208154,2.008611996,0.236170634,0.0672315,0,0,0.664347818
12/07/2020,20:20:00,28.2,55,18.3,28.2,29.2,27.3,0,0,0.034,29.3,49,17.5,4.075649206,1.997068111,0.234989502,0.0672315,0,0,0.663236402
12/07/2020,20:25:00,28.2,55,18.3,28.2,29.2,27.3,0,0,0.034,29.2,49,17.4,4.052208127,1.985581982,0.233813332,0.0672315,0,0,0.662122929
12/07/2020,20:30:00,28.2,55,18.3,28.2,29.1,27.2,0,0,0.034,28.9,48,16.8,3.982587166,1.91164184,0.230314426,0.0672315,0,0,0.671687241
12/07/2020,20:35:00,28.1,54,17.9,28.1,29,27.1,0,0,0.034,28.8,47,16.4,3.95961263,1.861017936,0.229157938,0.0672315,0,0,0.683438624
12/07/2020,20:40:00,28.1,53,17.6,28.1,28.9,26.9,0,0,0.034,28.7,47,16.3,3.936753503,1.850274146,0.22800633,0.0672315,0,0,0.682270809
12/07/2020,20:45:00,28.1,52,17.3,28.1,28.8,26.9,0,0,0.034,28.6,47,16.2,3.914009299,1.83958437,0.226859585,0.0672315,0,0,0.681100862
12/07/2020,20:50:00,28.1,52,17.3,28.1,28.8,26.9,0,0,0.034,28.5,47,16.1,3.891379531,1.82894838,0.225717687,0.0672315,0,0,0.679928782
12/07/2020,20:55:00,28.1,53,17.6,28.1,28.9,26.9,0,0,0.034,28.3,48,16.2,3.846461372,1.846301459,0.223448369,0.0672315,0,0,0.664793734
12/07/2020,21:00:00,28.1,52,17.3,28.1,28.8,26.9,0,0,0.034,28.2,48,16.1,3.824172018,1.835602569,0.222320916,0.0672315,0,0,0.663637498
12/07/2020,21:05:00,28.1,51,17,28.1,28.6,26.6,0,0,0.034,28.1,48,16,3.801995174,1.824957684,0.221198246,0.0672315,0,0,0.662479174
12/07/2020,21:10:00,28,52,17.2,28,28.6,26.7,0,0,0.034,27.9,49,16.2,3.757977111,1.841408784,0.21896719,0.0672315,0,0,0.647460953
12/07/2020,21:15:00,28,52,17.2,28,28.6,26.7,0,0,0.034,27.8,49,16.1,3.736134941,1.830706121,0.217858772,0.0672315,0,0,0.646318767
12/07/2020,21:20:00,28,51,16.9,28,28.6,26.6,0,0,0.034,27.8,49,16.1,3.736134941,1.830706121,0.217858772,0.0672315,0,0,0.646318767
12/07/2020,21:25:00,27.9,51,16.9,27.9,28.4,26.4,0,0,0.033,27.6,49,15.9,3.69278196,1.809463161,0.215656078,0.0672315,0,0,0.644028269
12/07/2020,21:30:00,27.9,52,17.2,27.9,28.6,26.6,0,0,0.033,27.4,50,16.1,3.64986766,1.82493383,0.213472133,0.0672315,0,0,0.629146678
12/07/2020,21:35:00,27.9,52,17.2,27.9,28.6,26.6,0,0,0.033,27.3,51,16.3,3.628573846,1.850572661,0.212387152,0.0672315,0,0,0.615456552
12/07/2020,21:40:00,27.9,53,17.5,27.9,28.6,26.7,0,0,0.033,27.2,52,16.5,3.607388303,1.875841917,0.21130681,0.0672315,0,0,0.601809703
12/07/2020,21:45:00,27.9,53,17.4,27.9,28.6,26.6,0,0,0.033,27.1,52,16.4,3.586310566,1.864881495,0.210231093,0.0672315,0,0,0.600721278
12/07/2020,21:50:00,27.9,53,17.4,27.9,28.6,26.6,0,0,0.033,27.1,52,16.4,3.586310566,1.864881495,0.210231093,0.0672315,0,0,0.600721278
12/07/2020,21:55:00,27.8,54,17.7,27.8,28.6,26.6,0,0,0.033,27,52,16.3,3.565340176,1.853976891,0.209159984,0.0672315,0,0,0.599630942
12/07/2020,22:00:00,27.8,54,17.6,27.8,28.4,26.5,0,0,0.033,27,52,16.3,3.565340176,1.853976891,0.209159984,0.0672315,0,0,0.599630942
12/07/2020,22:05:00,27.7,54,17.6,27.7,28.4,26.4,0,0,0.033,26.9,53,16.6,3.544476671,1.878572636,0.208093469,0.0672315,0,0,0.58606914
12/07/2020,22:10:00,27.7,54,17.6,27.7,28.4,26.4,0,0,0.033,26.8,53,16.4,3.523719593,1.867571384,0.207031531,0.0672315,0,0,0.584997782
12/07/2020,22:15:00,27.7,55,17.9,27.7,28.5,26.6,0,0,0.033,26.7,54,16.6,3.503068485,1.891656982,0.205974154,0.0672315,0,0,0.571500632
12/07/2020,22:20:00,27.7,55,17.8,27.7,28.4,26.5,0,0,0.032,26.6,54,16.5,3.482522891,1.880562361,0.204921324,0.0672315,0,0,0.57044842
12/07/2020,22:25:00,27.7,55,17.8,27.7,28.4,26.5,0,0,0.032,26.6,54,16.5,3.482522891,1.880562361,0.204921324,0.0672315,0,0,0.57044842
12/07/2020,22:30:00,27.7,55,17.8,27.7,28.4,26.5,0,0,0.032,26.5,54,16.4,3.462082359,1.869524474,0.203873025,0.0672315,0,0,0.569394386
12/07/2020,22:35:00,27.7,55,17.8,27.7,28.4,26.5,0,0,0.032,26.5,54,16.4,3.462082359,1.869524474,0.203873025,0.0672315,0,0,0.569394386
12/07/2020,22:40:00,27.7,56,18.1,27.7,28.5,26.6,0,0,0.032,26.5,55,16.7,3.462082359,1.904145297,0.203873025,0.0672315,0,0,0.557016248
12/07/2020,22:45:00,27.6,56,18,27.6,28.4,26.5,0,0,0.032,26.5,55,16.7,3.462082359,1.904145297,0.203873025,0.0672315,0,0,0.557016248
12/07/2020,22:50:00,27.6,56,18,27.6,28.4,26.5,0,0,0.032,26.5,55,16.7,3.462082359,1.904145297,0.203873025,0.0672315,0,0,0.557016248
12/07/2020,22:55:00,27.6,55,17.7,27.6,28.2,26.3,0,0,0.032,26.4,55,16.6,3.441746435,1.892960539,0.202829241,0.0672315,0,0,0.555983348
12/07/2020,23:00:00,27.6,56,18,27.6,28.3,26.4,0,0,0.032,26.4,55,16.6,3.441746435,1.892960539,0.202829241,0.0672315,0,0,0.555983348
12/07/2020,23:05:00,27.6,56,18,27.6,28.3,26.4,0,0,0.032,26.5,55,16.7,3.462082359,1.904145297,0.203873025,0.0672315,0,0,0.557016248
