Date,Time,"Outdoor air temperature
°C","Outdoor relative humidity
%",Outdoor dew point °C,Thermal sensation °C,Heat index °C,THSW index°C,Solar radiation W/m^2,Solar radiation MJ/300s,Degree-days D-D ,Indoor air temperature °C,Indoor relative humidity %,Indoor dew point °C
12/07/2020,19:50:00,28.4,58,19.3,28.4,29.8,27.9,0,0,0.035,29.6,50,18.1
12/07/2020,19:55:00,28.4,59,19.6,28.4,29.8,28,0,0,0.035,29.6,50,18.1
12/07/2020,20:00:00,28.3,59,19.6,28.3,29.7,27.9,0,0,0.035,29.6,50,18.1
12/07/2020,20:05:00,28.3,56,18.7,28.3,29.4,27.5,0,0,0.035,29.5,49,17.7
12/07/2020,20:10:00,28.2,55,18.3,28.2,29.2,27.3,0,0,0.034,29.5,49,17.7
12/07/2020,20:15:00,28.2,55,18.3,28.2,29.2,27.3,0,0,0.034,29.4,49,17.6
12/07/2020,20:20:00,28.2,55,18.3,28.2,29.2,27.3,0,0,0.034,29.3,49,17.5
12/07/2020,20:25:00,28.2,55,18.3,28.2,29.2,27.3,0,0,0.034,29.2,49,17.4
12/07/2020,20:30:00,28.2,55,18.3,28.2,29.1,27.2,0,0,0.034,28.9,48,16.8
12/07/2020,20:35:00,28.1,54,17.9,28.1,29,27.1,0,0,0.034,28.8,47,16.4
12/07/2020,20:40:00,28.1,53,17.6,28.1,28.9,26.9,0,0,0.034,28.7,47,16.3
12/07/2020,20:45:00,28.1,52,17.3,28.1,28.8,26.9,0,0,0.034,28.6,47,16.2
12/07/2020,20:50:00,28.1,52,17.3,28.1,28.8,26.9,0,0,0.034,28.5,47,16.1
12/07/2020,20:55:00,28.1,53,17.6,28.1,28.9,26.9,0,0,0.034,28.3,48,16.2
12/07/2020,21:00:00,28.1,52,17.3,28.1,28.8,26.9,0,0,0.034,28.2,48,16.1
12/07/2020,21:05:00,28.1,51,17,28.1,28.6,26.6,0,0,0.034,28.1,48,16
12/07/2020,21:10:00,28,52,17.2,28,28.6,26.7,0,0,0.034,27.9,49,16.2
12/07/2020,21:15:00,28,52,17.2,28,28.6,26.7,0,0,0.034,27.8,49,16.1
12/07/2020,21:20:00,28,51,16.9,28,28.6,26.6,0,0,0.034,27.8,49,16.1
12/07/2020,21:25:00,27.9,51,16.9,27.9,28.4,26.4,0,0,0.033,27.6,49,15.9
12/07/2020,21:30:00,27.9,52,17.2,27.9,28.6,26.6,0,0,0.033,27.4,50,16.1
12/07/2020,21:35:00,27.9,52,17.2,27.9,28.6,26.6,0,0,0.033,27.3,51,16.3
